temperature,humidity,soil_moisture,rainfall,crop_type,irrigation_needed,water_level
38,45,18,0,Tomato,Yes,High
35,55,25,1,Tomato,Yes,Medium
30,60,45,3,Tomato,No,Low
42,35,12,0,Tomato,Yes,High
28,70,55,5,Tomato,No,Low
40,40,20,0,Cucumber,Yes,High
34,58,30,1,Cucumber,Yes,Medium
29,65,48,4,Cucumber,No,Low
43,32,10,0,Cucumber,Yes,High
31,60,42,2,Cucumber,No,Low
39,42,22,0,Lettuce,Yes,High
33,55,28,1,Lettuce,Yes,Medium
27,68,50,4,Lettuce,No,Low
41,38,15,0,Lettuce,Yes,High
30,62,46,3,Lettuce,No,Low
37,48,24,0,Wheat,Yes,Medium
32,57,35,2,Wheat,No,Low
44,30,11,0,Wheat,Yes,High
29,66,52,5,Wheat,No,Low
36,50,26,1,Wheat,Yes,Medium
